plant	plot	no.vseeds	no.aborts	pattern.6	plant.height	nectar.rew	flw.sync	neigh.2m	nearest.tree.dist.cm	fruit.set
1	1	220	85	5	92.5	8.329	0.897	6	235.0	0.340
1	1	275	60	5	92.5	8.329	0.897	6	235.0	0.340
1	1	225	85	5	92.5	8.329	0.897	6	235.0	0.340
1	1	38	50	5	92.5	8.329	0.897	6	235.0	0.340
1	1	266	65	5	92.5	8.329	0.897	6	235.0	0.340
1	1	245	75	5	92.5	8.329	0.897	6	235.0	0.340
1	1	0	220	5	92.5	8.329	0.897	6	235.0	0.340
1	1	203	70	5	92.5	8.329	0.897	6	235.0	0.340
1	1	302	30	5	92.5	8.329	0.897	6	235.0	0.340
1	1	75	80	5	92.5	8.329	0.897	6	235.0	0.340
1	1	16	0	5	92.5	8.329	0.897	6	235.0	0.340
1	1	284	8	5	92.5	8.329	0.897	6	235.0	0.340
1	1	293	3	5	92.5	8.329	0.897	6	235.0	0.340
1	1	55	3	5	92.5	8.329	0.897	6	235.0	0.340
1	1	280	11	5	92.5	8.329	0.897	6	235.0	0.340
1	1	150	3	5	92.5	8.329	0.897	6	235.0	0.340
2	1	390	20	6	92.9	10.262	0.879	6	246.0	0.333
2	1	83	20	6	92.9	10.262	0.879	6	246.0	0.333
2	1	380	15	6	92.9	10.262	0.879	6	246.0	0.333
2	1	105	20	6	92.9	10.262	0.879	6	246.0	0.333
2	1	93	15	6	92.9	10.262	0.879	6	246.0	0.333
2	1	40	25	6	92.9	10.262	0.879	6	246.0	0.333
2	1	17	12	6	92.9	10.262	0.879	6	246.0	0.333
2	1	320	21	6	92.9	10.262	0.879	6	246.0	0.333
2	1	272	14	6	92.9	10.262	0.879	6	246.0	0.333
2	1	280	14	6	92.9	10.262	0.879	6	246.0	0.333
2	1	287	20	6	92.9	10.262	0.879	6	246.0	0.333
2	1	5	180	6	92.9	10.262	0.879	6	246.0	0.333
2	1	0	100	6	92.9	10.262	0.879	6	246.0	0.333
2	1	0	35	6	92.9	10.262	0.879	6	246.0	0.333
3	1	410	30	4	108.8	5.720	0.633	8	257.0	0.775
3	1	310	20	4	108.8	5.720	0.633	8	257.0	0.775
3	1	285	11	4	108.8	5.720	0.633	8	257.0	0.775
3	1	370	15	4	108.8	5.720	0.633	8	257.0	0.775
3	1	315	20	4	108.8	5.720	0.633	8	257.0	0.775
3	1	76	60	4	108.8	5.720	0.633	8	257.0	0.775
3	1	400	44	4	108.8	5.720	0.633	8	257.0	0.775
3	1	380	86	4	108.8	5.720	0.633	8	257.0	0.775
3	1	0	130	4	108.8	5.720	0.633	8	257.0	0.775
3	1	0	135	4	108.8	5.720	0.633	8	257.0	0.775
3	1	362	17	4	108.8	5.720	0.633	8	257.0	0.775
3	1	93	11	4	108.8	5.720	0.633	8	257.0	0.775
3	1	270	25	4	108.8	5.720	0.633	8	257.0	0.775
3	1	445	20	4	108.8	5.720	0.633	8	257.0	0.775
3	1	443	6	4	108.8	5.720	0.633	8	257.0	0.775
3	1	452	6	4	108.8	5.720	0.633	8	257.0	0.775
3	1	350	25	4	108.8	5.720	0.633	8	257.0	0.775
3	1	212	15	4	108.8	5.720	0.633	8	257.0	0.775
3	1	335	14	4	108.8	5.720	0.633	8	257.0	0.775
3	1	361	25	4	108.8	5.720	0.633	8	257.0	0.775
4	1	335	10	4	109.2	7.042	0.722	9	337.0	0.833
4	1	302	15	4	109.2	7.042	0.722	9	337.0	0.833
4	1	390	10	4	109.2	7.042	0.722	9	337.0	0.833
4	1	365	20	4	109.2	7.042	0.722	9	337.0	0.833
4	1	320	13	4	109.2	7.042	0.722	9	337.0	0.833
4	1	300	8	4	109.2	7.042	0.722	9	337.0	0.833
4	1	315	4	4	109.2	7.042	0.722	9	337.0	0.833
4	1	47	50	4	109.2	7.042	0.722	9	337.0	0.833
4	1	310	20	4	109.2	7.042	0.722	9	337.0	0.833
4	1	46	35	4	109.2	7.042	0.722	9	337.0	0.833
4	1	224	0	4	109.2	7.042	0.722	9	337.0	0.833
4	1	291	0	4	109.2	7.042	0.722	9	337.0	0.833
4	1	122	7	4	109.2	7.042	0.722	9	337.0	0.833
4	1	0	0	4	109.2	7.042	0.722	9	337.0	0.833
4	1	380	40	4	109.2	7.042	0.722	9	337.0	0.833
4	1	425	5	4	109.2	7.042	0.722	9	337.0	0.833
4	1	145	20	4	109.2	7.042	0.722	9	337.0	0.833
4	1	0	1	4	109.2	7.042	0.722	9	337.0	0.833
4	1	319	4	4	109.2	7.042	0.722	9	337.0	0.833
4	1	347	4	4	109.2	7.042	0.722	9	337.0	0.833
6	1	0	120	2	53.9	5.513	0.872	11	392.0	0.565
6	1	0	70	2	53.9	5.513	0.872	11	392.0	0.565
6	1	350	50	2	53.9	5.513	0.872	11	392.0	0.565
6	1	270	150	2	53.9	5.513	0.872	11	392.0	0.565
6	1	0	100	2	53.9	5.513	0.872	11	392.0	0.565
6	1	0	60	2	53.9	5.513	0.872	11	392.0	0.565
6	1	0	40	2	53.9	5.513	0.872	11	392.0	0.565
6	1	0	120	2	53.9	5.513	0.872	11	392.0	0.565
6	1	2	100	2	53.9	5.513	0.872	11	392.0	0.565
6	1	0	105	2	53.9	5.513	0.872	11	392.0	0.565
6	1	0	110	2	53.9	5.513	0.872	11	392.0	0.565
6	1	0	200	2	53.9	5.513	0.872	11	392.0	0.565
6	1	0	80	2	53.9	5.513	0.872	11	392.0	0.565
6	1	0	240	2	53.9	5.513	0.872	11	392.0	0.565
6	1	0	200	2	53.9	5.513	0.872	11	392.0	0.565
6	1	1	152	2	53.9	5.513	0.872	11	392.0	0.565
6	1	6	133	2	53.9	5.513	0.872	11	392.0	0.565
6	1	15	110	2	53.9	5.513	0.872	11	392.0	0.565
6	1	0	184	2	53.9	5.513	0.872	11	392.0	0.565
6	1	1	140	2	53.9	5.513	0.872	11	392.0	0.565
7	1	230	10	4	69.8	14.615	0.818	4	198.0	0.583
7	1	300	10	4	69.8	14.615	0.818	4	198.0	0.583
7	1	245	15	4	69.8	14.615	0.818	4	198.0	0.583
7	1	0	30	4	69.8	14.615	0.818	4	198.0	0.583
7	1	310	10	4	69.8	14.615	0.818	4	198.0	0.583
7	1	76	4	4	69.8	14.615	0.818	4	198.0	0.583
7	1	0	0	4	69.8	14.615	0.818	4	198.0	0.583
7	1	298	7	4	69.8	14.615	0.818	4	198.0	0.583
7	1	287	2	4	69.8	14.615	0.818	4	198.0	0.583
7	1	245	70	4	69.8	14.615	0.818	4	198.0	0.583
7	1	160	140	4	69.8	14.615	0.818	4	198.0	0.583
7	1	280	75	4	69.8	14.615	0.818	4	198.0	0.583
7	1	270	100	4	69.8	14.615	0.818	4	198.0	0.583
7	1	80	90	4	69.8	14.615	0.818	4	198.0	0.583
8	1	180	100	4	166.0	8.028	0.818	6	24.5	0.739
8	1	130	80	4	166.0	8.028	0.818	6	24.5	0.739
8	1	332	1	4	166.0	8.028	0.818	6	24.5	0.739
8	1	0	0	4	166.0	8.028	0.818	6	24.5	0.739
8	1	265	20	4	166.0	8.028	0.818	6	24.5	0.739
8	1	56	110	4	166.0	8.028	0.818	6	24.5	0.739
8	1	243	7	4	166.0	8.028	0.818	6	24.5	0.739
8	1	1	60	4	166.0	8.028	0.818	6	24.5	0.739
8	1	0	100	4	166.0	8.028	0.818	6	24.5	0.739
8	1	165	25	4	166.0	8.028	0.818	6	24.5	0.739
8	1	5	70	4	166.0	8.028	0.818	6	24.5	0.739
8	1	100	90	4	166.0	8.028	0.818	6	24.5	0.739
8	1	70	120	4	166.0	8.028	0.818	6	24.5	0.739
8	1	300	10	4	166.0	8.028	0.818	6	24.5	0.739
8	1	63	140	4	166.0	8.028	0.818	6	24.5	0.739
8	1	150	6	4	166.0	8.028	0.818	6	24.5	0.739
8	1	0	130	4	166.0	8.028	0.818	6	24.5	0.739
8	1	0	0	4	166.0	8.028	0.818	6	24.5	0.739
8	1	0	150	4	166.0	8.028	0.818	6	24.5	0.739
8	1	0	80	4	166.0	8.028	0.818	6	24.5	0.739
9	1	232	30	3	162.5	6.526	0.691	4	81.0	0.526
9	1	83	40	3	162.5	6.526	0.691	4	81.0	0.526
9	1	470	10	3	162.5	6.526	0.691	4	81.0	0.526
9	1	250	20	3	162.5	6.526	0.691	4	81.0	0.526
9	1	320	20	3	162.5	6.526	0.691	4	81.0	0.526
9	1	35	20	3	162.5	6.526	0.691	4	81.0	0.526
9	1	0	40	3	162.5	6.526	0.691	4	81.0	0.526
9	1	290	40	3	162.5	6.526	0.691	4	81.0	0.526
9	1	322	25	3	162.5	6.526	0.691	4	81.0	0.526
9	1	225	60	3	162.5	6.526	0.691	4	81.0	0.526
9	1	240	1	3	162.5	6.526	0.691	4	81.0	0.526
9	1	313	7	3	162.5	6.526	0.691	4	81.0	0.526
9	1	269	3	3	162.5	6.526	0.691	4	81.0	0.526
9	1	39	26	3	162.5	6.526	0.691	4	81.0	0.526
9	1	308	3	3	162.5	6.526	0.691	4	81.0	0.526
9	1	242	3	3	162.5	6.526	0.691	4	81.0	0.526
9	1	283	4	3	162.5	6.526	0.691	4	81.0	0.526
9	1	315	3	3	162.5	6.526	0.691	4	81.0	0.526
9	1	289	1	3	162.5	6.526	0.691	4	81.0	0.526
9	1	1	7	3	162.5	6.526	0.691	4	81.0	0.526
10	1	89	120	6	129.0	4.975	0.818	10	297.0	0.705
10	1	87	130	6	129.0	4.975	0.818	10	297.0	0.705
10	1	111	77	6	129.0	4.975	0.818	10	297.0	0.705
10	1	40	60	6	129.0	4.975	0.818	10	297.0	0.705
10	1	72	60	6	129.0	4.975	0.818	10	297.0	0.705
10	1	140	12	6	129.0	4.975	0.818	10	297.0	0.705
10	1	358	5	6	129.0	4.975	0.818	10	297.0	0.705
10	1	6	90	6	129.0	4.975	0.818	10	297.0	0.705
10	1	445	100	6	129.0	4.975	0.818	10	297.0	0.705
10	1	153	50	6	129.0	4.975	0.818	10	297.0	0.705
10	1	351	5	6	129.0	4.975	0.818	10	297.0	0.705
10	1	308	50	6	129.0	4.975	0.818	10	297.0	0.705
10	1	124	75	6	129.0	4.975	0.818	10	297.0	0.705
10	1	172	5	6	129.0	4.975	0.818	10	297.0	0.705
10	1	260	10	6	129.0	4.975	0.818	10	297.0	0.705
10	1	241	5	6	129.0	4.975	0.818	10	297.0	0.705
10	1	360	7	6	129.0	4.975	0.818	10	297.0	0.705
10	1	335	10	6	129.0	4.975	0.818	10	297.0	0.705
10	1	286	3	6	129.0	4.975	0.818	10	297.0	0.705
10	1	206	2	6	129.0	4.975	0.818	10	297.0	0.705
10	1	447	3	6	129.0	4.975	0.818	10	297.0	0.705
11	1	0	90	5	151.5	7.032	0.872	8	304.0	0.671
11	1	0	85	5	151.5	7.032	0.872	8	304.0	0.671
11	1	25	100	5	151.5	7.032	0.872	8	304.0	0.671
11	1	350	20	5	151.5	7.032	0.872	8	304.0	0.671
11	1	0	120	5	151.5	7.032	0.872	8	304.0	0.671
11	1	2	80	5	151.5	7.032	0.872	8	304.0	0.671
11	1	0	100	5	151.5	7.032	0.872	8	304.0	0.671
11	1	162	25	5	151.5	7.032	0.872	8	304.0	0.671
11	1	212	130	5	151.5	7.032	0.872	8	304.0	0.671
11	1	395	15	5	151.5	7.032	0.872	8	304.0	0.671
11	1	118	60	5	151.5	7.032	0.872	8	304.0	0.671
11	1	125	80	5	151.5	7.032	0.872	8	304.0	0.671
11	1	0	100	5	151.5	7.032	0.872	8	304.0	0.671
11	1	0	200	5	151.5	7.032	0.872	8	304.0	0.671
11	1	0	190	5	151.5	7.032	0.872	8	304.0	0.671
11	1	1	90	5	151.5	7.032	0.872	8	304.0	0.671
11	1	52	50	5	151.5	7.032	0.872	8	304.0	0.671
11	1	90	54	5	151.5	7.032	0.872	8	304.0	0.671
11	1	140	7	5	151.5	7.032	0.872	8	304.0	0.671
11	1	33	28	5	151.5	7.032	0.872	8	304.0	0.671
12	1	0	100	2	93.0	7.446	0.892	9	297.0	0.136
12	1	0	50	2	93.0	7.446	0.892	9	297.0	0.136
12	1	0	70	2	93.0	7.446	0.892	9	297.0	0.136
13	1	54	60	4	188.5	9.713	0.722	8	143.0	0.749
13	1	310	90	4	188.5	9.713	0.722	8	143.0	0.749
13	1	0	180	4	188.5	9.713	0.722	8	143.0	0.749
13	1	0	90	4	188.5	9.713	0.722	8	143.0	0.749
13	1	4	200	4	188.5	9.713	0.722	8	143.0	0.749
13	1	220	75	4	188.5	9.713	0.722	8	143.0	0.749
13	1	137	120	4	188.5	9.713	0.722	8	143.0	0.749
13	1	0	130	4	188.5	9.713	0.722	8	143.0	0.749
13	1	45	300	4	188.5	9.713	0.722	8	143.0	0.749
13	1	123	150	4	188.5	9.713	0.722	8	143.0	0.749
13	1	297	2	4	188.5	9.713	0.722	8	143.0	0.749
